"","pid","DefaultStatus","BuySignal","OverturnCondition","wug_role","p2_q1","p2_q2","p2_q3","signal_sent","pragmatism","purity","justice","social_recognition","pleasure","compassion","spirituality","equality","giving","freedom","respect_tadition","moral_mean"
"15","60ccbffae161aadb1880ad6c","donated","75 tokens","19 tokens","Wug non-donor","1.0","2.0","1.0",1,6,6,7,5,6,7,7,7,7,6,6,6.36363636363636
"16","66b2611ba705781f5401b996","not donated","75 tokens","1 token","Wug donor","2.0","2.0","1.0",1,6,5,9,8,7,6,5,9,8,9,8,7.27272727272727
"17","6172ba772342dcc9343a29db","not donated","75 tokens","1 token","Wug donor","1.0","1.0","1.0",1,4,5,5,4,5,5,6,5,5,7,5,5.09090909090909
"18","66e18aed7a77c82578abfbab","not donated","75 tokens","1 token","Wug donor","1.0","2.0","2.0",1,1,9,5,7,5,9,8,9,9,8,1,6.45454545454545
"19","66a2aab9918d06137520268f","not donated","75 tokens","19 tokens","Wug donor","2.0","1.0","1.0",1,9,9,9,7,8,9,8,8,8,9,8,8.36363636363636
"20","66a3d4fafbd20e8283f73c46","not donated","75 tokens","1 token","Wug donor","2.0","1.0","2.0",1,2,9,9,9,8,9,9,9,9,9,9,8.27272727272727
"21","669292033e17ed44f8376cab","donated","75 tokens","19 tokens","Wug non-donor","2.0","2.0","1.0",1,6,7,7,5,7,7,4,7,6,7,6,6.27272727272727
"22","665358f21977781e0e8e6e2c","not donated","75 tokens","19 tokens","Wug donor","2.0","2.0","1.0",1,8,9,9,9,9,9,9,9,9,9,9,8.90909090909091
"23","66b50b6e9a8e8afdf8365262","donated","75 tokens","19 tokens","Wug non-donor","2.0","1.0","1.0",1,7,7,8,9,9,9,9,9,9,9,9,8.54545454545454
"24","66293f7d355cb2780b2b2ab1","not donated","75 tokens","19 tokens","Wug donor","1.0","2.0","2.0",1,5,8,8,6,7,7,4,5,7,9,3,6.27272727272727
"25","664521e03117b782ed4fff45","not donated","75 tokens","1 token","Wug donor","1.0","1.0","2.0",1,5,9,9,5,5,9,9,9,9,9,9,7.90909090909091
"26","66805f486ae4ada5289839e3","not donated","75 tokens","19 tokens","Wug donor","1.0","2.0","2.0",1,5,6,7,5,6,8,5,9,8,8,6,6.63636363636364
"27","66db2f07391d475c88a30d13","donated","75 tokens","1 token","Wug non-donor","2.0","2.0","1.0",1,6,3,6,4,7,3,3,6,4,6,7,5
"28","64d8bb260860973a90493f15","donated","75 tokens","1 token","Wug non-donor","2.0","2.0","1.0",1,5,6,8,6,5,8,7,8,7,8,6,6.72727272727273
"29","65de3f6558e2556c9250e39e","not donated","75 tokens","1 token","Wug donor","1.0","1.0","2.0",1,8,5,8,6,7,8,7,6,7,9,7,7.09090909090909
"30","664287debe4750708ea0ecf7","donated","75 tokens","1 token","Wug non-donor","2.0","2.0","1.0",1,5,7,8,1,4,9,9,3,8,9,8,6.45454545454545
"31","664fc6ec0beb5400a141b77b","donated","75 tokens","19 tokens","Wug non-donor","2.0","1.0","1.0",1,9,9,9,7,4,9,9,7,8,8,9,8
"32","663bc61ac878484941479ffb","donated","75 tokens","19 tokens","Wug non-donor","1.0","2.0","2.0",1,7,5,7,5,7,5,8,8,5,7,5,6.27272727272727
"33","5d37d2861566530016a061de","donated","75 tokens","19 tokens","Wug non-donor","1.0","2.0","1.0",1,3,4,8,7,7,8,8,8,8,8,8,7
"34","5ca8ffbec942ab0016cfe9d2","not donated","75 tokens","19 tokens","Wug donor","2.0","1.0","2.0",1,7,9,7,4,2,8,8,3,9,7,6,6.36363636363636
